GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,Accuracy_regre_co2,Accuracy_regre_ch4,Accuracy_CL_co2,Accuracy_CL_ch4
3.642091656431729,5.8502192509857345,11.842540924329757,52.70239360650065,0.909,0.921,11.846,18.068,11.325,7.403,27.051,16.447 
2.8012237683831414,4.977835254766671,7.120270609136924,51.71464005975582,0.903,0.979,12.262,13.115,17.567,11.885,38.135,25.17 
2.1524021326615603,3.7592121420760716,6.169150380892312,45.855046998991206,0.974,0.985,7.998,11.366,26.01,13.445,49.98,30.852 
1.3898701298913774,2.6709016217630666,6.096796696571056,45.32542600267777,0.983,0.997,6.842,7.211,43.337,22.809,75.87,48.139 
1.2259085471122522,2.435755205693284,4.7371042681851465,44.57633305917147,0.98,0.997,7.005,7.036,47.099,24.85,82.433,51.06 
1.1223607566022993,2.262814092145626,4.658838325354075,12.19612947562087,0.976,0.998,7.442,6.809,49.74,24.73,88.435,52.821 
1.0664027324204115,2.1697886382566165,2.5517391413067125,11.860557307570724,0.976,0.998,7.388,6.761,51.22,26.13,91.637,55.142 
0.8623845030924656,1.735805043266635,2.4751032275191354,11.332964457479362,0.98,0.998,6.932,6.645,65.506,33.173,97.439,66.347 
0.6985001588726807,1.4133833943607188,2.177447623447082,10.969668677911338,0.984,0.998,6.651,6.67,78.191,44.738,99.84,79.632 
0.6601158028390763,1.323085134046699,2.134032614418084,10.502357876980298,0.984,0.998,6.585,6.417,81.273,47.939,99.84,82.313 
0.5533893652020302,1.1022808742639618,2.047649706772068,9.952672145629858,0.985,0.998,6.526,6.394,88.635,60.104,99.88,90.756 
