Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
0.1,300,0.02,0.98,0.0000542648,0.0000865865,0.0001329211,0.0001095242
0.1,300,0.2,0.8,0.0005426480,0.0000692692,0.0002426796,0.0001696742
0.1,300,0.4,0.6,0.0009767664,0.0000865865,0.0008121611,0.0001095242
0.1,300,0.6,0.4,0.0010310312,0.0000692692,0.0005316843,0.0000692692
0.1,300,0.8,0.2,0.0023876511,0.0000000000,0.0014212820,0.0000000000
0.1,300,0.98,0.02,0.0034186823,0.0000000000,0.0010353064,0.0000000000
1,300,0.02,0.98,0.0005697804,0.0012814805,0.0004668034,0.0011350433
1,300,0.2,0.8,0.0053993474,0.0009351344,0.0015857953,0.0003357950
1,300,0.4,0.6,0.0098761933,0.0007273268,0.0008476432,0.0002591817
1,300,0.6,0.4,0.0146786280,0.0004502499,0.0026936338,0.0004824043
1,300,0.8,0.2,0.0193454006,0.0003290288,0.0028175922,0.0004698067
1,300,0.98,0.02,0.0245819537,0.0000173173,0.0039183543,0.0000692692
10,300,0.02,0.98,0.0045311107,0.0116545456,0.0015501127,0.0022885064
10,300,0.2,0.8,0.0478615521,0.0101998920,0.0034550956,0.0017605831
10,300,0.4,0.6,0.0976766370,0.0069442389,0.0040608057,0.0015231354
10,300,0.6,0.4,0.1493095927,0.0048834797,0.0072084407,0.0013965952
10,300,0.8,0.2,0.2088652089,0.0023897879,0.0210618733,0.0006348628
10,300,0.98,0.02,0.2445171814,0.0001558557,0.0131703695,0.0002545114
100,300,0.02,0.98,0.0501135413,0.1154717827,0.0054308193,0.0035006663
100,300,0.2,0.8,0.4906623067,0.0955395658,0.0303564868,0.0070561161
100,300,0.4,0.6,0.9987436137,0.0695636099,0.0435185414,0.0055400218
100,300,0.6,0.4,1.4775761944,0.0479689319,0.0668969867,0.0042559719
100,300,0.8,0.2,1.9522846503,0.0231359181,0.1032317584,0.0007697926
100,300,0.98,0.02,2.3655382222,0.0026841821,0.0562571830,0.0008122536
1000,300,0.02,0.98,0.4914762787,1.1378161381,0.0220821061,0.0207592224
1000,300,0.2,0.8,4.6632997113,0.9026298333,0.1080437346,0.0074626128
1000,300,0.4,0.6,9.1412308714,0.6632181063,0.1350777821,0.0095365372
1000,300,0.6,0.4,13.1083403522,0.4295557242,0.4684906983,0.0040360837
1000,300,0.8,0.2,16.9754669420,0.2121023387,0.2301465101,0.0045377945
1000,300,0.98,0.02,20.6122937276,0.0202439283,0.4106369211,0.0011967748
10000,300,0.02,0.98,4.3064815297,10.4751159322,0.1191715265,0.1421900026
10000,300,0.2,0.8,33.5606343218,7.2014008434,0.2551542936,0.0341288871
10000,300,0.4,0.6,54.9410191377,4.7742421578,1.0061189215,0.0452501649
10000,300,0.6,0.4,71.3128987276,2.9036789381,0.4086726962,0.0261941610
10000,300,0.8,0.2,83.7853913051,1.3606725225,0.6840572139,0.0191700599
10000,300,0.98,0.02,93.8031614643,0.1315422407,1.2893665357,0.0049883455
100000,300,0.02,0.98,21.8826326571,68.9165661826,0.4132175354,0.4746777241
100000,300,0.2,0.8,122.5926447881,42.3116457935,0.6557607009,0.2381963877
100000,300,0.4,0.6,190.1445046067,28.6374004006,0.6837024869,0.1319672916
100000,300,0.6,0.4,249.4779878471,18.1487596541,0.9680422172,0.1426206978
100000,300,0.8,0.2,307.1356927172,8.8576624269,1.3831296900,0.0455027575
100000,300,0.98,0.02,357.8837522834,0.8707659940,1.3678178613,0.0062396147
1000000,300,0.02,0.98,69.6669659964,393.9251982022,0.3942338011,1.7441953866
1000000,300,0.2,0.8,484.4361265397,258.2528670707,1.3467980446,1.1057200570
1000000,300,0.4,0.6,760.2940778694,161.2797748136,1.9165955846,0.5739774034
1000000,300,0.6,0.4,936.8864917354,92.6626421334,1.1891168103,0.5585363117
1000000,300,0.8,0.2,1057.4052173276,40.8810633150,1.6161081441,0.1217851709
1000000,300,0.98,0.02,1140.5543810044,3.7432564678,3.9569892947,0.0218210674
10000000,300,0.02,0.98,92.4791817816,1063.9864103213,1.0139249337,2.8440109426
10000000,300,0.2,0.8,617.0542199559,689.5691030556,2.2663471107,3.4914540617
10000000,300,0.4,0.6,925.9269017360,455.1890053314,1.6443490181,2.2805001548
10000000,300,0.6,0.4,1128.9755482587,290.8994657757,2.4207145836,2.3953164639
10000000,300,0.8,0.2,1287.6022982747,152.9820500923,3.3810131280,0.5237894315
10000000,300,0.98,0.02,1429.1213923000,16.6403878463,1.9951194966,0.2054988764
